Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
IDS,N/A,19,34937,1.7342843107544281
A*(h2),Manhattan,25,4340,1.397975592911538
A*(h1),Misplaced Titles,25,38183,1.5250174105899892
IDS,N/A,29,307495,1.5460936451831497
A*(h2),Manhattan,22,1388,1.389427482413109
A*(h1),Misplaced Titles,22,10333,1.522175886155151
IDS,N/A,28,195730,1.5452109040080955
A*(h2),Manhattan,27,7041,1.3883692163955834
A*(h1),Misplaced Titles,27,74864,1.5154047027535795
IDS,N/A,31,580468,1.5343637576104805
A*(h2),Manhattan,22,1678,1.4014624066253716
A*(h1),Misplaced Titles,22,12569,1.5357900557139381
IDS,N/A,22,651470,1.8376717040717974
A*(h2),Manhattan,12,31,1.3313129029129973
A*(h1),Misplaced Titles,12,118,1.488184695515886
IDS,N/A,12,8025,2.115292453868726
A*(h2),Manhattan,25,2745,1.3725927288977153
A*(h1),Misplaced Titles,25,38520,1.5255535299132836
IDS,N/A,29,413461,1.5619608956085
A*(h2),Manhattan,17,311,1.4016286433720895
A*(h1),Misplaced Titles,17,1636,1.5454183918573696
IDS,N/A,17,19422,1.7875268966298825
A*(h2),Manhattan,25,1337,1.3336604009514634
A*(h1),Misplaced Titles,25,36251,1.5218533325434749
IDS,N/A,37,840867,1.4458650672615572
A*(h2),Manhattan,20,896,1.4048029174214736
A*(h1),Misplaced Titles,20,4463,1.522233742038075
IDS,N/A,24,119430,1.6275951723538369
A*(h2),Manhattan,18,296,1.371810061795778
A*(h1),Misplaced Titles,18,2031,1.5267279713108746
